submission_date;state;tot_cases;conf_cases;prob_cases;new_case;pnew_case;tot_death;conf_death;prob_death;new_death;pnew_death;created_at;consent_cases;consent_deaths
01/09/2021;OH;770,977;685,423;85,554;8,374;1,392;9,599;8,639;960;55;5;01/10/2021 04:10:55 PM;Agree;Agree
01/23/2020;NY;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;Not agree;Not agree
05/04/2020;NM;4,031;;;181;0;201;;;5;0;05/06/2020 12:00:00 AM;N/A;Not agree
02/27/2021;SD;112,293;;;186;45;1,886;1,530;356;7;2;02/28/2021 02:48:18 PM;N/A;Agree
05/15/2020;NY;155,456;;;950;0;7,279;;;68;0;05/16/2020 03:46:44 PM;Not agree;Not agree
04/13/2020;TN;5,810;5,792;18;66;0;132;126;6;8;0;04/13/2020 12:00:00 AM;Agree;Agree
07/02/2020;NM;12,520;;;244;0;545;;;5;0;07/04/2020 12:00:00 AM;N/A;Not agree
09/13/2020;PA;144,774;140,565;4,209;969;27;7,869;;;7;2;09/14/2020 02:01:21 PM;Agree;Not agree
03/30/2021;TN;811,403;674,225;137,178;1,562;494;11,903;9,572;2,331;6;4;03/30/2021 12:00:00 AM;Agree;Agree
03/18/2020;OH;88;;;21;;0;;;0;;03/26/2020 04:22:39 PM;Agree;Agree
01/31/2020;NM;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;N/A;Not agree
07/12/2021;OH;1,114,491;931,084;183,407;224;47;20,380;20,380;0;0;0;07/13/2021 02:26:25 PM;Agree;Agree
12/29/2020;NY;528,633;;;6,868;0;12,354;;;91;0;12/30/2020 02:56:20 PM;Not agree;Not agree
05/31/2021;RMI;4;4;0;0;0;0;0;0;0;0;06/01/2021 03:18:33 PM;Agree;Agree
08/12/2020;RMI;0;0;0;0;0;0;0;0;0;0;08/13/2020 02:12:28 PM;Agree;Agree
12/23/2020;NY;487,062;;;7,564;0;11,812;;;133;0;12/24/2020 02:31:20 PM;Not agree;Not agree
08/28/2020;OH;120,124;113,725;6,399;1,296;60;4,105;3,819;286;29;1;08/29/2020 01:42:50 PM;Agree;Agree
07/25/2020;PA;107,425;104,401;3,024;800;31;7,118;;;4;4;07/26/2020 03:17:16 PM;Agree;Not agree
03/03/2021;TN;780,965;653,162;127,803;1,268;345;11,514;9,267;2,247;11;1;03/03/2021 12:00:00 AM;Agree;Agree
06/07/2021;NM;203,686;;;72;0;4,323;;;0;0;06/09/2021 12:00:00 AM;N/A;Not agree
01/25/2020;NM;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;N/A;Not agree
02/27/2020;TN;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;Agree;Agree
09/19/2020;TN;183,017;176,736;6,281;1,559;142;2,382;2,283;99;28;2;09/19/2020 12:00:00 AM;Agree;Agree
04/14/2020;PA;25,345;;;1,146;;584;;;60;;04/13/2020 04:22:39 PM;Agree;Not agree
07/10/2020;OH;62,856;59,000;3,856;1,525;31;3,032;2,776;256;26;-1;07/11/2020 06:25:05 PM;Agree;Agree
05/12/2020;PA;57,991;56,871;1,120;837;64;3,806;;;75;1;05/13/2020 03:26:08 PM;Agree;Not agree
05/07/2020;RMI;0;0;0;0;0;0;0;0;0;0;05/08/2020 09:26:08 PM;Agree;Agree
07/26/2020;PA;108,264;105,228;3,036;839;12;7,122;;;4;4;07/27/2020 02:16:42 PM;Agree;Not agree
10/08/2020;SD;26,441;;;535;7;274;272;2;14;0;10/09/2020 01:43:36 PM;N/A;Agree
04/08/2020;TN;5,010;4,994;16;199;3;94;88;6;7;1;04/08/2020 12:00:00 AM;Agree;Agree
07/20/2020;NY;185,623;;;235;0;8,792;;;5;0;07/21/2020 02:50:17 PM;Not agree;Not agree
10/20/2020;RMI;0;0;0;0;0;0;0;0;0;0;10/21/2020 01:34:31 PM;Agree;Agree
07/29/2020;OH;87,893;83,213;4,680;1,396;79;3,422;3,156;266;40;2;07/30/2020 02:42:43 PM;Agree;Agree
07/28/2020;NY;188,629;;;336;0;8,826;;;4;0;07/29/2020 02:34:46 PM;Not agree;Not agree
05/15/2020;PA;60,622;59,300;1,322;986;72;4,342;;;124;1;05/16/2020 03:46:44 PM;Agree;Not agree
06/02/2021;PA;1,203,443;1,008,580;194,863;580;119;27,259;;;45;-2;06/03/2021 03:22:54 PM;Agree;Not agree
03/04/2020;IA;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;Not agree;Not agree
12/26/2020;NM;137,226;;;604;0;2,879;;;30;3;12/28/2020 12:00:00 AM;N/A;Not agree
06/07/2021;TN;863,306;710,809;152,497;255;82;12,500;10,062;2,438;1;1;06/07/2021 12:00:00 AM;Agree;Agree
06/14/2020;TN;32,797;32,590;207;407;3;503;480;23;7;0;06/14/2020 12:00:00 AM;Agree;Agree
05/27/2021;NY;1,149,326;;;631;0;19,742;;;6;0;05/28/2021 01:29:21 PM;Not agree;Not agree
07/28/2020;NM;19,791;;;289;0;679;;;8;0;07/30/2020 12:00:00 AM;N/A;Not agree
12/20/2020;OH;622,806;565,329;57,477;8,377;664;8,047;7,364;683;16;4;12/21/2020 02:39:53 PM;Agree;Agree
06/16/2021;RMI;4;4;0;0;0;0;0;0;0;0;06/17/2021 02:38:09 PM;Agree;Agree
01/23/2021;PA;800,237;704,188;96,049;5,785;1,048;20,526;;;205;177;01/24/2021 02:36:49 PM;Agree;Not agree
06/11/2020;PA;77,999;75,800;2,199;686;5;6,162;;;49;-3;06/12/2020 02:17:59 PM;Agree;Not agree
03/19/2020;RMI;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;Agree;Agree
03/27/2020;RMI;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;Agree;Agree
11/18/2020;PA;281,852;263,978;17,874;6,339;665;9,465;;;110;-12;11/19/2020 03:01:36 PM;Agree;Not agree
02/10/2021;OH;928,631;803,885;124,746;3,281;901;11,856;10,522;1,334;63;9;02/11/2021 02:50:55 PM;Agree;Agree
03/08/2021;NM;187,040;;;118;0;4,087;;;6;0;03/10/2021 12:00:00 AM;N/A;Not agree
08/18/2020;IA;52,969;;;140;0;989;;;2;0;08/19/2020 02:23:51 PM;Not agree;Not agree
01/14/2021;PA;748,844;661,980;86,864;7,175;1,606;18,742;;;313;242;01/15/2021 02:46:04 PM;Agree;Not agree
02/20/2020;RMI;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;Agree;Agree
12/07/2020;SD;86,500;;;509;50;1,110;928;182;0;0;12/08/2020 02:59:49 PM;N/A;Agree
07/31/2020;TN;109,513;107,950;1,563;2,191;79;1,200;1,154;46;29;1;07/31/2020 12:00:00 AM;Agree;Agree
11/20/2020;OH;335,423;318,151;17,272;8,808;760;5,955;5,578;377;65;9;11/21/2020 02:59:41 PM;Agree;Agree
01/27/2020;RMI;0;;;0;;0;;;0;;03/26/2020 04:22:39 PM;Agree;Agree
11/23/2020;OH;363,304;344,054;19,250;11,885;851;6,020;5,635;385;24;1;11/24/2020 03:27:55 PM;Agree;Agree
03/09/2021;TN;786,965;657,173;129,792;1,415;491;11,642;9,374;2,268;26;4;03/09/2021 12:00:00 AM;Agree;Agree
01/06/2021;IA;289,932;;;2,626;614;4,060;;;61;61;01/07/2021 02:56:59 PM;Not agree;Not agree
